address,city,category,price_text,price_eur,features,link
"Ganību dambis 23a, Sarkandaugava",Rīga,"Birojs, Investīciju objekts, Noliktava/ražošana, Tirdzniecība, Cits",Jauna cena1 150 000 €,1150000,3387 m²10 ist.2/2 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-sarkandaugava-ganibu-dambis/2207038?i=44
Ķesterciema iela 9a,"Salaspils, Salaspils nov.",Tirdzniecība,245 000 €,245000,193 m²3 ist.1/1 st.,https://www.city24.lv/real-estate/commercials-for-sale/salaspils-nov-salaspils-kesterciema-iela/2155877?i=45
"Dārzciema iela 60, Dārzciems",Rīga,"Tirdzniecība, Pakalpojumi",550 000 €,550000,550 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-darzciems-darzciema-iela/8568100?i=46
"Vīlandes iela, Centrs",Rīga,Birojs,304 000 €,304000,159.7 m²4 ist.1/6 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-vilandes-iela/5843561?i=47
"Palasta iela, Vecrīga",Rīga,Birojs,2 300 000 €,2300000,1982 m²446 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-vecriga-palasta-iela/6700898?i=48
"Lemizar, Liepupes pag.",Limbažu nov.,,319 000 €,319000,54200 m²,https://www.city24.lv/real-estate/commercials-for-sale/limbazu-nov-lemizar/8623867?i=49
"Mārupes iela 6-5, Āgenskalns",Rīga,"Noliktava/ražošana, Investīciju objekts, Cits, Birojs",Jauna cena29 000 €,29000,78.2 m²4 ist.0/4 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-agenskalns-marupes-iela/7939740?i=0
"Zilupes iela 1, Krasta masīvs",Rīga,"Birojs, Noliktava/ražošana, Investīciju objekts, Tirdzniecība",Jauna cena350 000 €,350000,452 m²1749 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-krasta-masivs-zilupes-iela/4286354?i=1
"Tallinas iela 58, Centrs",Rīga,Tirdzniecība,23 500 €,23500,38.5 m²2 ist.1/3 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-tallinas-iela/6544276?i=2
Stelpes pienotava,"Beitiņi, Stelpes pag., Bauskas nov.","Investīciju objekts, Noliktava/ražošana, Tirdzniecība, Cits",Jauna cena190 000 €,190000,4300 m²64400 m²30 ist.2/2 st.,https://www.city24.lv/real-estate/commercials-for-sale/bauskas-nov-stelpes-pag-beitini/1003659?i=3
"Lauvas iela 4, Latgale",Rīga,Investīciju objekts,2 000 000 €,2000000,8102 m²15319 m²127 ist.,https://www.city24.lv/real-estate/commercials-for-sale/riga-latgale-lauvas-iela/1673193?i=4
Valdemāra bulvāris 8,"Madona, Madonas nov.",,89 000 €,89000,284 m²1067 m²10 ist.,https://www.city24.lv/real-estate/commercials-for-sale/madonas-nov-madona-valdemara-bulvaris/9092279?i=5
"Juglas iela 3, Jugla",Rīga,,2 850 000 €,2850000,9520 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-jugla-juglas-iela/3055602?i=6
Bāriņu iela 22,Liepāja,Noliktava,12 000 €,12000,,https://www.city24.lv/real-estate/commercials-for-sale/liepaja-barinu-iela/8230869?i=7
Rudeņi 8A,"Salaspils, Salaspils nov.","Noliktava, Noliktava/ražošana",460 000 €,460000,2328 m²2 ist.1/1 st.,https://www.city24.lv/real-estate/commercials-for-sale/salaspils-nov-salaspils-rudeni/3387341?i=8
"Tērbatas iela 2, Centrs",Rīga,Investīciju objekts,20 000 000 €,20000000,5839.9 m²100 ist.1/3 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-terbatas-iela/4679131?i=9
Līgas iela 1,"Līgatnes pag., Cēsu nov.","Noliktava, Noliktava/ražošana",2 950 000 €,2950000,6669 m²10 ist.1/1 st.,https://www.city24.lv/real-estate/commercials-for-sale/cesu-nov-ligatnes-pag-ligas-iela/7354286?i=10
"Emiļa Melngaiļa iela 8, Centrs",Rīga,Birojs,620 000 €,620000,160 m²199 m²5 ist.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-emila-melngaila-iela/2895802?i=11
"Valērijas Seiles iela 1, Latgale",Rīga,Birojs,150 000 €,150000,445 m²1413 m²12 ist.1/2 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-latgale-valerijas-seiles-iela/9073051?i=12
"Teātra iela 24, Majori",Jūrmala,Birojs,259 000 €,259000,73.3 m²400 m²4 ist.1/1 st.,https://www.city24.lv/real-estate/commercials-for-sale/jurmala-majori-teatra-iela/2974806?i=13
"Aspazijas bulvāris 5, Rīga, Vecrīga",Rīga,Investīciju objekts,10 800 000 €,10800000,14830 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-vecriga-aspazijas-bulvaris/9063876?i=14
"Brīvības iela 59, Centrs",Rīga,"Tirdzniecība, Birojs",300 000 €,300000,180 m²6 ist.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-brivibas-iela/5553344?i=15
Putnu iela,"Zaķumuiža, Ropažu pag., Ropažu nov.","Noliktava/ražošana, Tirdzniecība, Investīciju objekts",170 000 €,170000,1025 m²2800 m²5 ist.1/1 st.,https://www.city24.lv/real-estate/commercials-for-sale/ropazu-pag-zakumuiza-putnu-iela/3907010?i=16
"Carnikavas iela 3a, Jaunmīlgrāvis",Rīga,Noliktava/ražošana,94 500 €,94500,698 m²1 ist.1/1 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-jaunmilgravis-carnikavas-iela/1929707?i=17
"Andreja Pumpura iela 5, Centrs",Rīga,Investīciju objekts,145 600 €,145600,145600 m²3 ist.1/6 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-andreja-pumpura-iela/8402407?i=18
"Čiekurkalna 4. šķērslīnija 9, Čiekurkalns",Rīga,Birojs,140 000 €,140000,125 m²1 ist.1/6 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-ciekurkalns-ciekurkalna-4-skerslinija/2671009?i=19
